LOC,StmtCount,Cyclomatic,Cognitive,DistinctOperators,DistinctOperands,TotalOperators,TotalOperands,Vocabulary,Length,Volume,Difficulty,Effort,MaxNestingDepth,isLongMethod,isGodClass,isFeatureEnvy,isDuplicatedCode,CodeSmells,NSmells,SmellDensity,maxLOC,maxCyclomatic,maxCognitive,maxNSmells,maxStmtCount,maxDistinctOperators,maxDistinctOperands,maxTotalOperators,maxTotalOperands,maxVocabulary,maxLength,maxVolume,maxDifficulty,maxEffort,maxNestingDepth,everLongMethod,everGodClass,everFeatureEnvy,everDuplicatedCode,maxCodeSmells,maxSmellDensity,Touches,TotalTouches,IssueTouches,TotalIssueTouches,Authors,TotalAuthors,AddedLines,DeletedLines,Churn,TotalChurn,prevCodeSmells,AgeInReleases,prevBuggy,Buggy
24,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,24,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,2,0,2,0,1,0,0,0,2,0,2,no,no
9,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,9,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,2,no,no
7,6,3,0,0,2,0,4,2.0,4.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,7,3,0,0,6,0,2,0,4,2.0,4.0,4.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,2,no,no
15,0,0,0,2,12,2,13,14.0,15.0,57.110323830864054,1.0833333333333333,61.869517483436056,0,0,0,0,0,0,0,0.0000,15,0,0,0,0,2,12,2,13,14.0,15.0,57.110323830864054,1.0833333333333333,61.869517483436056,0,0,0,0,0,0,0.0000,0,3,0,3,0,2,0,0,0,9,0,2,no,no
3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,7,0,7,0,3,0,0,0,292,0,2,yes,yes
7,3,1,0,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,0,0,0.0000,7,1,0,0,3,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,0,0.0000,0,10,0,10,0,2,0,0,0,266,0,2,no,no
6,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,6,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,2,0,2,0,1,0,0,0,9,0,2,no,no
5,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,5,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,2,no,no
8,3,1,0,1,2,2,2,3.0,4.0,6.339850002884625,0.5,3.1699250014423126,0,0,0,0,0,0,0,0.0000,8,1,0,0,3,1,2,2,2,3.0,4.0,6.339850002884625,0.5,3.1699250014423126,0,0,0,0,0,0,0.0000,0,10,0,10,0,2,0,0,0,266,0,2,no,no
6,2,1,0,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,0,0,0.0000,6,1,0,0,2,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,0,0.0000,0,7,0,7,0,3,0,0,0,292,0,2,yes,yes
10,4,2,0,0,1,0,2,1.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,10,2,0,0,4,0,1,0,2,1.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,232,0,2,no,no
49,7,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,49,7,0,0,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,2,no,no
27,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,2,0,2,0,2,0,0,0,18,0,2,no,no
3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,7,0,7,0,3,0,0,0,292,0,2,yes,yes
17,8,3,1,2,6,2,9,8.0,11.0,33.0,1.5,49.5,1,0,0,0,0,0,0,0.0000,17,3,1,0,8,2,6,2,9,8.0,11.0,33.0,1.5,49.5,1,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,203,0,2,no,no
7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,2,no,no
6,2,1,0,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,0,0,0.0000,6,1,0,0,2,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,0,0.0000,0,10,0,10,0,2,0,0,0,266,0,2,no,no
2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,2,0,2,0,1,0,0,0,6,0,2,no,no
11,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,11,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,6,0,6,0,2,0,0,0,21,0,2,no,no
12,4,2,0,1,1,1,2,2.0,3.0,3.0,1.0,3.0,0,0,0,0,0,0,0,0.0000,12,2,0,0,4,1,1,1,2,2.0,3.0,3.0,1.0,3.0,0,0,0,0,0,0,0.0000,0,5,0,5,0,2,0,0,0,223,0,3,no,no
4,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,4,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
4,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,4,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
8,3,1,0,1,2,2,2,3.0,4.0,6.339850002884625,0.5,3.1699250014423126,0,0,0,0,0,0,0,0.0000,8,1,0,0,3,1,2,2,2,3.0,4.0,6.339850002884625,0.5,3.1699250014423126,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,7,0,7,0,3,0,0,0,292,0,3,yes,yes
3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,7,0,7,0,3,0,0,0,292,0,3,yes,yes
8,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,8,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,16,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,10,0,10,0,2,0,0,0,266,0,3,no,no
4,4,2,0,0,2,0,2,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,4,2,0,0,4,0,2,0,2,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
7,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,7,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
6,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,6,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,5,0,5,0,2,0,0,0,114,0,3,no,no
5,2,1,0,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,0,0,0.0000,5,1,0,0,2,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,0,0.0000,0,7,0,7,0,3,0,0,0,292,0,3,yes,yes
2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,10,0,10,0,2,0,0,0,266,0,3,no,no
3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,7,0,7,0,3,0,0,0,292,0,3,yes,yes
17,5,2,0,1,3,1,3,4.0,4.0,8.0,0.5,4.0,0,0,0,0,0,0,0,0.0000,17,2,0,0,5,1,3,1,3,4.0,4.0,8.0,0.5,4.0,0,0,0,0,0,0,0.0000,0,10,0,10,0,2,0,0,0,266,0,3,no,no
13,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,13,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,6,0,6,0,2,0,0,0,216,0,3,no,no
16,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,16,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
11,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,11,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
6,4,2,0,0,2,0,3,2.0,3.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,6,2,0,0,4,0,2,0,3,2.0,3.0,3.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
15,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,15,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,7,0,7,0,3,0,0,0,292,0,3,yes,yes
14,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,14,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
5,2,1,0,0,4,0,4,4.0,4.0,8.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,5,1,0,0,2,0,4,0,4,4.0,4.0,8.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,7,0,7,0,3,0,0,0,292,0,3,yes,yes
6,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,6,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,26,0,3,no,no
10,4,1,0,1,2,3,3,3.0,6.0,9.509775004326938,0.75,7.132331253245203,0,0,0,0,0,0,0,0.0000,10,1,0,0,4,1,2,3,3,3.0,6.0,9.509775004326938,0.75,7.132331253245203,0,0,0,0,0,0,0.0000,0,7,0,7,0,2,0,0,0,210,0,3,no,no
4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
23,2,6,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,23,6,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,4,0,4,0,2,0,0,0,80,0,3,no,no
17,9,5,0,2,4,2,11,6.0,13.0,33.60451250937503,2.75,92.41240940078133,0,0,0,0,0,0,0,0.0000,17,5,0,0,9,2,4,2,11,6.0,13.0,33.60451250937503,2.75,92.41240940078133,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,7,0,7,0,3,0,0,0,292,0,3,yes,yes
20,8,4,0,0,7,0,13,7.0,13.0,36.49561398674886,0.0,0.0,0,0,0,0,0,0,0,0.0000,20,4,0,0,8,0,7,0,13,7.0,13.0,36.49561398674886,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
3,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,2,0,2,0,2,0,0,0,4,0,3,no,no
7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
24,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,24,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,2,0,2,0,1,0,0,0,2,0,3,no,no
9,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,9,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
7,6,3,0,0,2,0,4,2.0,4.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,7,3,0,0,6,0,2,0,4,2.0,4.0,4.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
15,0,0,0,2,12,2,13,14.0,15.0,57.110323830864054,1.0833333333333333,61.869517483436056,0,0,0,0,0,0,0,0.0000,15,0,0,0,0,2,12,2,13,14.0,15.0,57.110323830864054,1.0833333333333333,61.869517483436056,0,0,0,0,0,0,0.0000,0,3,0,3,0,2,0,0,0,9,0,3,no,no
3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,7,0,7,0,3,0,0,0,292,0,3,yes,yes
7,3,1,0,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,0,0,0.0000,7,1,0,0,3,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,0,0.0000,0,10,0,10,0,2,0,0,0,266,0,3,no,no
6,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,6,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,2,0,2,0,1,0,0,0,9,0,3,no,no
5,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,5,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
8,3,1,0,1,2,2,2,3.0,4.0,6.339850002884625,0.5,3.1699250014423126,0,0,0,0,0,0,0,0.0000,8,1,0,0,3,1,2,2,2,3.0,4.0,6.339850002884625,0.5,3.1699250014423126,0,0,0,0,0,0,0.0000,0,10,0,10,0,2,0,0,0,266,0,3,no,no
6,2,1,0,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,0,0,0.0000,6,1,0,0,2,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,0,0.0000,0,7,0,7,0,3,0,0,0,292,0,3,yes,yes
10,4,2,0,0,1,0,2,1.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,10,2,0,0,4,0,1,0,2,1.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,232,0,3,no,no
49,7,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,49,7,0,0,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
27,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,2,0,2,0,2,0,0,0,18,0,3,no,no
3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,7,0,7,0,3,0,0,0,292,0,3,yes,yes
17,8,3,1,2,6,2,9,8.0,11.0,33.0,1.5,49.5,1,0,0,0,0,0,0,0.0000,17,3,1,0,8,2,6,2,9,8.0,11.0,33.0,1.5,49.5,1,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,203,0,3,no,no
7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,1,0,1,0,1,0,0,0,0,0,3,no,no
6,2,1,0,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,0,0,0.0000,6,1,0,0,2,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,0,0.0000,0,10,0,10,0,2,0,0,0,266,0,3,no,no
2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,2,0,2,0,1,0,0,0,6,0,3,no,no
11,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,11,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,6,0,6,0,2,0,0,0,21,0,3,no,no
16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,16,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
27,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
14,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,14,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
5,2,1,0,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,0,0,0.0000,5,1,0,0,2,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
4,4,2,0,0,2,0,2,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,4,2,0,0,4,0,2,0,2,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
3,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
3,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
11,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,11,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
14,7,1,0,1,9,2,11,10.0,13.0,43.18506523353572,0.6111111111111112,26.39087319827183,0,0,0,0,0,0,0,0.0000,14,1,0,0,7,1,9,2,11,10.0,13.0,43.18506523353572,0.6111111111111112,26.39087319827183,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
8,3,1,0,1,2,2,2,3.0,4.0,6.339850002884625,0.5,3.1699250014423126,0,0,0,0,0,0,0,0.0000,8,1,0,0,3,1,2,2,2,3.0,4.0,6.339850002884625,0.5,3.1699250014423126,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
6,2,1,0,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,0,0,0.0000,6,1,0,0,2,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,3,1,0,0,2,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
14,6,3,0,0,3,0,4,3.0,4.0,6.339850002884625,0.0,0.0,0,0,0,0,0,0,0,0.0000,14,3,0,0,6,0,3,0,4,3.0,4.0,6.339850002884625,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
9,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,9,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
8,3,1,0,1,2,2,2,3.0,4.0,6.339850002884625,0.5,3.1699250014423126,0,0,0,0,0,0,0,0.0000,8,1,0,0,3,1,2,2,2,3.0,4.0,6.339850002884625,0.5,3.1699250014423126,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
4,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,4,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,1,no,no
